filename,base_word_lengths,pause_lengths,neutral_relative_word_lengths
sad_WSI,"[0.32, 0.47, 0.13, 0.07, 0.49, 0.13, 0.57]","[0.009999999999999953, 1.1102230246251565e-16, 0.0, 0.0, 0.0, -2.220446049250313e-16]",NA
neutral_MTI,"[0.33, 0.49, 0.13, 0.13, 0.13, 0.44]","[0.0, 0.0, 0.0, 0.0, 2.220446049250313e-16]",NA
cheerful_DFA,"[0.31, 0.41, 0.07, 0.4]","[0.0, 0.0, -1.1102230246251565e-16]",NA
terrified_TAI,"[0.2, 0.43, 0.17, 0.4, 0.47]","[0.0, 0.010000000000000009, 0.009999999999999898, 0.0]",NA
sad_IOM,"[0.23, 0.22, 0.17, 0.31, 0.14, 0.14, 0.54]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",NA
unfriendly_DFA,"[0.28, 0.4, 0.07, 0.62]","[0.0, 0.0, 0.0]",NA
angry_DFA,"[0.31, 0.43, 0.07, 0.49]","[0.03999999999999998, 0.0, 1.1102230246251565e-16]",NA
terrified_MTI,"[0.33, 0.43, 0.12, 0.14, 0.12, 0.37]","[0.0, 0.0, 0.0, 0.0, -2.220446049250313e-16]",NA
unfriendly_TIE,"[0.28, 0.14, 0.67, 0.16, 0.6]","[-5.551115123125783e-17, 0.0, -2.220446049250313e-16, 0.010000000000000231]",NA
angry_ITS,"[0.07, 0.34, 0.18, 0.34, 0.2, 0.48]","[-2.7755575615628914e-17, 0.0, 0.0, 0.0, 0.0]",NA
neutral_IOM,"[0.14, 0.13, 0.15, 0.18, 0.11, 0.1, 0.33]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.1102230246251565e-16]",NA
neutral_DFA,"[0.2, 0.31, 0.06, 0.39]","[0.019999999999999962, 0.0, 1.1102230246251565e-16]",NA
neutral_TIE,"[0.21, 0.13, 0.56, 0.17, 0.5]","[0.0, 0.0, 0.0, 0.010000000000000009]",NA
cheerful_IOM,"[0.21, 0.19, 0.17, 0.25, 0.11, 0.11, 0.34]","[5.551115123125783e-17, 0.0, -1.1102230246251565e-16, 0.0, 0.0, -2.220446049250313e-16]",NA
sad_DFA,"[0.31, 0.48, 0.08, 0.44]","[0.010000000000000009, 0.0, 0.0]",NA
unfriendly_MTI,"[0.38, 0.54, 0.11, 0.14, 0.14, 0.43]","[0.0, 0.0, 0.0, -2.220446049250313e-16, 2.220446049250313e-16]",NA
sad_ITS,"[0.12, 0.34, 0.17, 0.37, 0.28, 0.59]","[0.0, -1.1102230246251565e-16, 0.0, -2.220446049250313e-16, 0.0]",NA
terrified_DFA,"[0.23, 0.33, 0.05, 0.42]","[-5.551115123125783e-17, 0.0, 0.0]",NA
cheerful_MTI,"[0.37, 0.53, 0.13, 0.14, 0.12, 0.49]","[0.0, 0.020000000000000018, 2.220446049250313e-16, 0.0, 0.0]",NA
neutral_IWW,"[0.05, 0.29, 0.19, 0.2, 0.13, 0.39]","[0.0, 0.0, 1.1102230246251565e-16, 0.009999999999999898, 0.0]",NA
unfriendly_TAI,"[0.11, 0.57, 0.2, 0.45, 0.49]","[0.0, 0.010000000000000009, 0.010000000000000009, 0.0]",NA
cheerful_IWL,"[0.12, 0.19, 0.21, 0.06, 0.22, 0.4, 0.47]","[0.0, 0.0, 0.0, 0.0, 1.1102230246251565e-16, 0.0]",NA
unfriendly_IWL,"[0.08, 0.18, 0.18, 0.08, 0.24, 0.48, 0.38]","[0.0, 0.0, 0.0, 0.0, 0.0, 2.220446049250313e-16]",NA
terrified_IEO,"[0.24, 0.39, 0.56]","[0.0, 0.0]",NA
unfriendly_ITS,"[0.05, 0.28, 0.14, 0.29, 0.21, 0.4]","[0.0, -5.551115123125783e-17, 0.0, 1.1102230246251565e-16, 0.0]",NA
unfriendly_TSI,"[0.14, 0.48, 0.17, 0.45]","[-2.7755575615628914e-17, 0.010000000000000009, 0.0]",NA
terrified_ITS,"[0.11, 0.24, 0.13, 0.26, 0.16, 0.44]","[0.020000000000000018, 0.0, 0.0, -1.1102230246251565e-16, 0.0]",NA
terrified_IWL,"[0.07, 0.18, 0.15, 0.04, 0.2, 0.34, 0.34]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",NA
neutral_TAI,"[0.13, 0.52, 0.16, 0.39, 0.44]","[0.0, 0.010000000000000009, 0.010000000000000009, 0.0]",NA
sad_ITH,"[0.13, 0.38, 0.11, 0.28, 0.06, 0.62, 0.79]","[0.0, 0.0, 0.0, 0.0, 0.0, -2.220446049250313e-16]",NA
sad_TSI,"[0.12, 0.67, 0.2, 0.68]","[0.0, 0.0, -2.220446049250313e-16]",NA
unfriendly_WSI,"[0.21, 0.35, 0.11, 0.07, 0.34, 0.12, 0.42]","[0.0, 0.0, 0.0, 0.0, -2.220446049250313e-16, 2.220446049250313e-16]",NA
neutral_WSI,"[0.19, 0.28, 0.12, 0.07, 0.31, 0.11, 0.37]","[0.0, 0.0, 0.0, 0.0, 0.0, -2.220446049250313e-16]",NA
sad_IEO,"[0.23, 0.57, 0.8]","[0.0, 0.0]",NA
unfriendly_IOM,"[0.16, 0.14, 0.17, 0.26, 0.11, 0.1, 0.37]","[-5.551115123125783e-17, 0.0, 0.0, 0.0, 0.0, 0.0]",NA
neutral_TSI,"[0.12, 0.41, 0.15, 0.49]","[0.0, 0.0, 0.0]",NA
sad_TAI,"[0.22, 0.69, 0.22, 0.63, 0.61]","[0.0, 0.010000000000000009, 0.010000000000000009, 0.009999999999999787]",NA
cheerful_ITS,"[0.1, 0.29, 0.16, 0.29, 0.2, 0.45]","[-2.7755575615628914e-17, 0.0, -1.1102230246251565e-16, 0.0, 0.0]",NA
cheerful_TSI,"[0.15, 0.5, 0.14, 0.49]","[0.0, 0.0, 0.0]",NA
angry_IEO,"[0.28, 0.54, 0.71]","[0.0, -1.1102230246251565e-16]",NA
neutral_IWL,"[0.08, 0.17, 0.16, 0.06, 0.2, 0.37, 0.3]","[0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0]",NA
unfriendly_IEO,"[0.28, 0.47, 0.66]","[0.009999999999999953, 0.0]",NA
terrified_WSI,"[0.23, 0.3, 0.1, 0.05, 0.26, 0.12, 0.39]","[0.0, -1.1102230246251565e-16, 1.1102230246251565e-16, -1.1102230246251565e-16, 0.0, 2.220446049250313e-16]",NA
angry_IOM,"[0.18, 0.19, 0.16, 0.25, 0.12, 0.12, 0.38]","[0.0, 0.0, 0.010000000000000009, 0.0, 0.0, 0.0]",NA
neutral_IEO,"[0.16, 0.39, 0.59]","[0.0, 0.0]",NA
neutral_ITS,"[0.05, 0.27, 0.13, 0.25, 0.21, 0.45]","[0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0]",NA
angry_TIE,"[0.33, 0.15, 0.74, 0.19, 0.68]","[0.0, 0.0, 0.0, 0.010000000000000009]",NA
cheerful_TAI,"[0.18, 0.55, 0.19, 0.47, 0.49]","[0.0, 0.010000000000000009, 0.010000000000000009, 0.0]",NA
terrified_ITH,"[0.11, 0.25, 0.05, 0.16, 0.05, 0.42, 0.58]","[0.030000000000000027, 0.0, 0.010000000000000009, 0.0, -1.1102230246251565e-16, 0.0]",NA
sad_IWL,"[0.11, 0.23, 0.2, 0.06, 0.29, 0.54, 0.47]","[2.7755575615628914e-17, 0.0, 0.0, 0.0, 0.0, 0.0]",NA
angry_TAI,"[0.2, 0.6, 0.2, 0.51, 0.55]","[0.0, 0.010000000000000009, 0.010000000000000009, 0.0]",NA
terrified_IWW,"[0.09, 0.31, 0.14, 0.14, 0.13, 0.4]","[0.0, 0.0, 0.0, 0.0, 0.0]",NA
cheerful_WSI,"[0.28, 0.34, 0.12, 0.07, 0.37, 0.13, 0.41]","[0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0]",NA
sad_TIE,"[0.32, 0.19, 0.81, 0.21, 0.72]","[0.019999999999999962, 0.0, 0.0, 0.010000000000000009]",NA
terrified_TIE,"[0.29, 0.09, 0.56, 0.14, 0.49]","[0.0, 0.0, -1.1102230246251565e-16, 0.010000000000000009]",NA
unfriendly_ITH,"[0.08, 0.29, 0.05, 0.15, 0.05, 0.51, 0.67]","[-2.7755575615628914e-17, 0.0, 0.010000000000000009, -1.1102230246251565e-16, 0.0, 0.0]",NA
cheerful_ITH,"[0.1, 0.32, 0.08, 0.22, 0.06, 0.48, 0.6]","[-2.7755575615628914e-17, 0.0, 0.010000000000000009, 0.0, 1.1102230246251565e-16, -2.220446049250313e-16]",NA
angry_ITH,"[0.08, 0.33, 0.08, 0.2, 0.05, 0.57, 0.73]","[-2.7755575615628914e-17, 0.0, 0.010000000000000009, -1.1102230246251565e-16, 0.0, 0.0]",NA
neutral_ITH,"[0.08, 0.27, 0.06, 0.17, 0.05, 0.45, 0.63]","[0.0, -5.551115123125783e-17, 0.010000000000000009, -1.1102230246251565e-16, 0.0, 0.0]",NA
sad_MTI,"[0.46, 0.71, 0.11, 0.15, 0.19, 0.5]","[0.0, 0.010000000000000009, 0.0, 0.0, 0.0]",NA
terrified_TSI,"[0.19, 0.39, 0.17, 0.4]","[0.0, -1.1102230246251565e-16, 0.0]",NA
angry_MTI,"[0.42, 0.61, 0.11, 0.15, 0.16, 0.46]","[0.0, 0.020000000000000018, -2.220446049250313e-16, 0.0, 2.220446049250313e-16]",NA
sad_IWW,"[0.15, 0.46, 0.24, 0.25, 0.16, 0.59]","[-5.551115123125783e-17, 0.0, 0.0, 0.010000000000000009, 0.0]",NA
angry_IWL,"[0.12, 0.2, 0.21, 0.08, 0.26, 0.46, 0.41]","[0.0, -5.551115123125783e-17, 0.0, 0.0, 0.0, 0.0]",NA
angry_TSI,"[0.23, 0.55, 0.2, 0.48]","[0.0, 0.020000000000000018, 0.0]",NA
cheerful_IWW,"[0.12, 0.39, 0.2, 0.2, 0.13, 0.44]","[0.0, 0.0, -1.1102230246251565e-16, 0.010000000000000009, 0.0]",NA
terrified_IOM,"[0.15, 0.13, 0.14, 0.19, 0.11, 0.09, 0.48]","[0.0, 0.0, 0.010000000000000009, 0.0, 0.0, 1.1102230246251565e-16]",NA
cheerful_IEO,"[0.21, 0.45, 0.58]","[0.0, 0.0]",NA
angry_IWW,"[0.11, 0.42, 0.2, 0.21, 0.15, 0.51]","[0.0, 1.1102230246251565e-16, -1.1102230246251565e-16, 0.010000000000000009, 0.0]",NA
unfriendly_IWW,"[0.1, 0.32, 0.18, 0.18, 0.14, 0.45]","[0.0, 0.0, 0.0, 0.01000000000000012, 0.0]",NA
cheerful_TIE,"[0.29, 0.15, 0.63, 0.16, 0.52]","[0.0, 0.0, -2.220446049250313e-16, 0.010000000000000231]",NA
angry_WSI,"[0.29, 0.39, 0.13, 0.06, 0.36, 0.13, 0.46]","[0.010000000000000009, 0.0, 0.0, 0.0, 2.220446049250313e-16, -2.220446049250313e-16]",NA
